type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,temp_diff,power,rpm_torque_ratio,machine_failure,TWF,HDF,PWF,OSF,RNF
H,296.4,305.6,1387,49.1,208,9.23,7127.7,28.26,0,0,0,0,0,0
H,299.9,310.2,1528,28.2,191,10.32,4510.0,54.21,0,0,0,0,0,0
M,296.9,308.4,1442,34.5,36,11.46,5207.6,41.81,0,0,0,0,0,0
L,304.4,313.7,1587,45.5,240,9.35,7567.2,34.85,1,1,0,0,0,0
M,298.1,308.5,1713,40.4,157,10.46,7254.4,42.36,0,0,0,0,0,0
L,299.7,308.3,1621,44.5,149,8.59,7548.2,36.45,0,0,0,0,0,0
L,300.5,312.5,1093,42.5,2,12.02,4863.7,25.72,0,0,0,0,0,0
M,299.4,309.7,1599,46.3,174,10.27,7753.7,34.53,0,0,0,0,0,0
L,299.4,309.0,1297,26.8,13,9.59,3638.9,48.41,0,0,0,0,0,0
L,300.8,310.5,1438,52.8,46,9.7,7948.2,27.24,0,0,0,0,0,0
L,303.1,312.5,1637,35.2,24,9.49,6027.5,46.56,0,0,0,0,0,0
M,301.5,311.1,1276,40.6,94,9.54,5422.0,31.45,0,0,0,0,0,0
L,303.0,310.5,1731,34.0,198,7.55,6161.8,50.92,0,0,0,0,0,0
M,297.9,307.8,1429,37.1,176,9.9,5555.7,38.49,0,0,0,0,0,0
L,300.6,310.5,1934,42.3,26,9.86,8565.1,45.73,0,0,0,0,0,0
M,300.3,310.8,1513,47.4,199,10.49,7502.4,31.95,0,0,0,0,0,0
M,300.7,310.2,1841,49.0,115,9.48,9449.0,37.56,1,0,0,1,0,0
L,302.8,312.0,1739,44.3,8,9.23,8071.9,39.23,0,0,0,0,0,0
L,299.6,309.6,1377,34.0,55,9.99,4908.8,40.45,0,0,0,0,0,0
L,299.2,307.6,1239,43.7,196,8.39,5669.3,28.36,1,0,1,0,0,0
H,301.1,311.2,1522,42.4,183,10.14,6758.3,35.89,0,0,0,0,0,0
M,296.4,304.6,1383,40.6,47,8.14,5878.6,34.07,0,0,0,0,0,0
H,299.5,310.6,1815,45.3,9,11.12,8618.0,40.03,0,0,0,0,0,0
L,299.7,310.4,1450,27.2,73,10.68,4136.6,53.23,0,0,0,0,0,0
M,298.2,307.2,1439,19.7,198,9.07,2973.3,72.93,1,0,0,1,0,0
M,302.1,312.8,1220,51.9,234,10.66,6630.6,23.51,1,1,0,0,1,0
M,297.9,308.0,1583,38.7,143,10.11,6413.1,40.92,0,0,0,0,0,0
H,299.7,308.7,1265,44.2,22,8.99,5849.8,28.65,0,0,0,0,0,0
L,300.6,308.6,1588,31.3,125,7.98,5209.1,50.7,0,0,0,0,0,0
L,302.7,313.0,1616,52.6,249,10.32,8905.1,30.71,1,1,0,0,1,0
M,300.0,309.2,1350,43.5,234,9.21,6149.8,31.03,1,1,0,0,0,0
M,301.9,313.0,1691,38.2,248,11.09,6765.4,44.26,1,1,0,0,0,0
L,301.4,311.4,1445,42.9,174,10.01,6485.3,33.72,0,0,0,0,0,0
L,300.2,309.5,1205,22.6,106,9.3,2849.7,53.36,1,0,0,1,0,0
L,297.8,309.6,1809,43.7,223,11.8,8284.4,41.37,1,1,0,0,0,0
L,297.1,307.7,1315,54.9,223,10.58,7555.7,23.97,1,1,0,0,1,0
L,300.2,306.6,1601,43.2,36,6.34,7234.8,37.1,0,0,0,0,0,0
M,298.9,308.4,1585,41.9,193,9.51,6948.2,37.86,0,0,0,0,0,0
M,301.8,310.5,1577,36.8,229,8.62,6082.2,42.82,0,0,0,0,0,0
L,301.5,310.7,1574,50.8,224,9.2,8377.9,30.97,1,1,0,0,1,0
L,299.6,309.5,1305,52.3,176,9.86,7148.7,24.95,0,0,0,0,0,0
L,297.7,308.0,1838,35.7,134,10.35,6867.6,51.51,0,0,0,0,0,0
L,301.0,311.3,1691,43.6,194,10.26,7718.3,38.8,0,0,0,0,0,0
M,298.0,309.0,1595,42.3,129,11.08,7069.0,37.69,0,0,0,0,0,0
H,298.5,309.1,1233,44.0,80,10.64,5683.5,28.01,0,0,0,0,0,0
L,298.0,308.6,1304,32.3,64,10.57,4407.0,40.41,0,0,0,0,0,0
M,299.7,309.9,1631,51.4,135,10.2,8783.8,31.71,0,0,0,0,0,0
M,302.3,313.6,1099,45.7,113,11.29,5254.0,24.07,0,0,0,0,0,0
M,300.0,309.7,1567,52.0,131,9.68,8536.9,30.12,0,0,0,0,0,0
L,299.1,308.8,1233,28.8,65,9.71,3724.7,42.74,0,0,0,0,0,0
H,296.9,305.0,1326,29.4,147,8.09,4087.2,45.05,1,0,1,0,0,0
L,301.1,312.2,1217,60.6,165,11.06,7722.3,20.08,0,0,0,0,0,0
L,298.4,308.4,1549,51.5,201,9.92,8349.2,30.09,1,1,0,0,0,0
L,300.2,313.2,1723,31.8,147,12.93,5746.6,54.1,0,0,0,0,0,0
L,299.3,308.9,1569,48.7,189,9.59,7998.6,32.23,0,0,0,0,0,0
L,301.7,311.8,1591,35.3,42,10.09,5888.3,45.02,0,0,0,0,0,0
L,299.7,310.2,1533,23.0,30,10.55,3694.4,66.61,0,0,0,0,0,0
L,299.9,308.8,1636,19.0,44,8.9,3254.7,86.12,1,0,0,1,0,0
M,301.0,311.3,1593,39.8,211,10.36,6636.1,40.05,0,0,0,0,0,0
M,304.2,314.2,956,55.6,139,10.03,5567.0,17.19,0,0,0,0,0,0
L,301.8,311.5,1681,55.2,113,9.7,9719.5,30.45,1,0,0,1,0,0
M,299.8,311.0,1660,52.6,190,11.17,9144.0,31.56,1,0,0,1,0,0
M,300.0,309.1,1427,48.3,31,9.1,7217.7,29.54,0,0,0,0,0,0
M,299.0,309.2,1105,43.2,1,10.27,4995.9,25.59,0,0,0,0,0,0
L,298.1,309.6,1548,51.5,77,11.45,8351.7,30.05,0,0,0,0,0,0
M,298.9,308.2,1565,19.9,62,9.29,3259.9,78.68,1,0,0,1,0,0
H,298.5,308.2,1411,49.9,76,9.7,7372.9,28.28,0,0,0,0,0,0
M,301.3,313.7,1537,28.8,243,12.35,4633.9,53.39,1,1,0,0,0,0
L,297.9,308.3,1714,30.9,141,10.47,5541.3,55.52,0,0,0,0,0,0
L,302.7,312.2,1979,47.0,147,9.49,9731.7,42.14,1,0,0,1,0,0
M,301.5,312.3,1529,49.3,163,10.8,7891.7,31.02,0,0,0,0,0,0
L,300.0,309.5,1566,33.9,99,9.43,5559.8,46.19,0,0,0,0,0,0
L,300.0,308.4,1335,46.5,244,8.44,6495.4,28.73,1,1,1,0,1,0
L,298.9,310.3,1399,45.6,243,11.37,6684.8,30.66,1,1,0,0,1,0
M,300.5,309.4,1472,36.9,192,8.9,5687.0,39.9,0,0,0,0,0,0
M,302.2,314.6,1735,41.5,52,12.45,7547.1,41.77,0,0,0,0,0,0
L,298.6,308.1,1663,60.8,220,9.51,10589.8,27.35,1,1,0,1,1,0
H,296.9,309.1,1885,37.2,25,12.13,7340.1,50.69,0,0,0,0,0,0
L,301.4,310.0,1201,37.5,157,8.63,4720.0,32.0,0,0,0,0,0,0
M,300.6,311.7,1235,41.5,114,11.03,5367.2,29.76,0,0,0,0,0,0
M,297.8,308.3,1720,38.2,9,10.5,6875.2,45.06,0,0,0,0,0,0
M,298.5,309.4,1789,47.9,225,10.84,8974.7,37.34,1,1,0,0,0,0
H,298.3,309.2,1506,54.7,240,10.97,8625.4,27.54,1,1,0,0,1,0
L,298.6,308.1,800,37.5,226,9.5,3144.4,21.31,1,1,0,1,0,0
M,299.4,308.0,1351,31.4,48,8.69,4446.9,42.98,0,0,0,0,0,0
L,299.5,309.4,1567,59.7,83,9.95,9804.6,26.23,1,0,0,1,0,0
M,298.7,308.9,1320,41.2,238,10.22,5694.8,32.04,0,0,0,0,0,0
M,298.5,308.0,1537,23.0,26,9.53,3694.7,66.96,0,0,0,0,0,0
M,299.5,309.8,1879,58.6,145,10.28,11535.1,32.05,1,0,0,1,0,0
L,300.3,310.7,1785,51.3,121,10.33,9582.1,34.82,1,0,0,1,0,0
M,299.4,308.5,1661,56.0,37,9.09,9742.9,29.65,1,0,0,1,0,0
L,302.3,312.7,1487,54.3,221,10.39,8462.1,27.36,1,1,0,0,1,0
L,301.0,310.7,1401,66.4,33,9.73,9749.0,21.08,1,0,0,1,0,0
M,296.8,306.1,1651,29.6,148,9.3,5122.9,55.72,0,0,0,0,0,0
L,301.0,311.8,1505,32.0,79,10.79,5050.2,46.97,0,0,0,0,0,0
M,301.2,310.4,1511,35.1,104,9.22,5550.3,43.08,0,0,0,0,0,0
L,299.1,308.7,1189,34.8,52,9.54,4332.0,34.17,0,0,0,0,0,0
L,297.0,307.1,1357,41.2,156,10.07,5858.9,32.91,0,0,0,0,0,0
M,300.0,311.4,1650,35.1,247,11.37,6065.0,47.01,1,1,0,0,0,0
L,300.0,310.2,1279,28.1,208,10.19,3764.2,45.51,0,0,0,0,0,0
L,297.8,308.3,1553,31.3,170,10.53,5083.1,49.69,0,0,0,0,0,0
M,297.1,306.8,1582,37.1,189,9.7,6140.0,42.68,0,0,0,0,0,0
L,299.8,309.7,1594,51.4,209,9.92,8587.0,30.99,1,1,0,0,0,0
M,299.5,309.5,1612,34.2,118,9.95,5781.2,47.07,0,0,0,0,0,0
L,299.2,309.5,1625,48.1,141,10.29,8185.1,33.78,0,0,0,0,0,0
M,299.8,309.5,1375,26.8,223,9.7,3857.1,51.33,1,1,0,0,0,0
M,297.8,309.1,1206,8.0,173,11.34,1011.7,150.54,1,0,0,1,0,0
M,299.1,308.8,1325,38.7,34,9.63,5365.4,34.27,0,0,0,0,0,0
L,301.1,309.4,1645,33.9,194,8.29,5839.7,48.53,0,0,0,0,0,0
M,299.3,312.0,1259,31.2,5,12.74,4111.2,40.38,0,0,0,0,0,0
M,296.7,306.3,1291,30.0,211,9.67,4057.4,43.02,0,0,0,0,0,0
M,299.1,310.4,1290,32.9,197,11.31,4447.8,39.18,0,0,0,0,0,0
L,297.9,309.3,1130,30.1,207,11.4,3565.0,37.51,0,0,0,0,0,0
M,300.5,311.5,1270,31.0,5,10.95,4127.2,40.92,0,0,0,0,0,0
M,300.6,310.4,1700,26.4,243,9.8,4701.9,64.37,1,1,0,0,0,0
L,296.7,307.0,1356,18.7,153,10.29,2656.3,72.49,1,0,0,1,0,0
L,301.5,310.2,1150,17.9,200,8.73,2156.4,64.22,1,0,0,1,0,0
M,297.8,309.8,1397,64.6,141,11.99,9452.2,21.62,1,0,0,1,0,0
L,303.1,312.3,1602,39.4,84,9.15,6604.3,40.69,0,0,0,0,0,0
H,299.9,309.6,1133,55.2,74,9.75,6554.7,20.51,0,0,0,0,0,0
M,297.5,307.6,1690,38.2,17,10.1,6764.8,44.21,0,0,0,0,0,0
M,297.7,307.6,1211,38.6,135,9.89,4889.7,31.41,0,0,0,0,0,0
L,300.7,310.0,1420,43.1,35,9.34,6404.1,32.97,0,0,0,0,0,0
L,299.2,310.6,1418,46.4,141,11.39,6890.2,30.56,0,0,0,0,0,0
H,299.8,310.8,1387,27.5,156,10.95,3999.1,50.38,0,0,0,0,0,0
L,303.2,313.5,1487,36.2,110,10.32,5637.4,41.07,0,0,0,0,0,0
M,298.6,308.2,1655,43.0,39,9.6,7460.7,38.45,0,0,0,0,0,0
L,300.1,311.2,1491,20.7,108,11.06,3226.5,72.15,1,0,0,1,0,0
L,302.8,312.4,1378,53.0,219,9.54,7644.3,26.01,1,1,0,0,1,0
L,300.5,312.1,1591,50.6,114,11.57,8435.0,31.43,0,0,0,0,0,0
L,296.8,306.9,1541,19.0,85,10.11,3063.2,81.18,1,0,0,1,0,0
H,301.0,312.2,1366,31.2,157,11.23,4464.5,43.77,0,0,0,0,0,0
L,297.7,307.6,1508,41.0,154,9.89,6482.3,36.74,0,0,0,0,0,0
L,302.8,312.9,1349,48.4,22,10.07,6839.9,27.86,0,0,0,0,0,0
L,298.4,309.6,1326,55.3,59,11.23,7673.5,24.0,0,0,0,0,0,0
L,305.9,318.1,1661,33.6,123,12.19,5849.0,49.4,0,0,0,0,0,0
L,302.9,314.5,1589,63.4,91,11.56,10546.7,25.07,1,0,0,1,0,0
M,298.4,309.3,1654,39.5,79,10.88,6843.8,41.86,0,0,0,0,0,0
L,300.0,310.6,1627,37.8,111,10.59,6433.3,43.09,0,0,0,0,0,0
L,301.5,311.0,1322,45.6,72,9.49,6315.2,28.98,0,0,0,0,0,0
L,301.6,311.9,1700,43.1,86,10.3,7674.2,39.44,0,0,0,0,0,0
H,300.9,310.0,1440,42.5,193,9.09,6416.2,33.84,0,0,0,0,0,0
L,302.5,312.9,1685,60.0,127,10.38,10580.4,28.1,1,0,0,1,0,0
L,299.8,310.2,1474,42.5,218,10.44,6556.1,34.7,0,0,0,0,0,0
M,299.3,307.3,1562,30.2,237,8.04,4932.9,51.8,1,1,0,0,0,0
L,299.3,309.3,1568,31.6,230,10.04,5189.1,49.62,0,0,0,0,0,0
L,301.7,312.1,1662,54.7,63,10.41,9524.8,30.37,1,0,0,1,0,0
L,300.7,310.6,1173,46.8,118,9.92,5753.4,25.04,0,0,0,0,0,0
M,300.6,310.9,1184,24.4,133,10.36,3029.8,48.45,1,0,0,1,0,0
L,301.6,310.2,1634,23.9,213,8.66,4097.2,68.24,0,0,0,0,0,0
M,295.9,305.1,1571,40.3,139,9.22,6621.8,39.03,0,0,0,0,0,0
M,300.6,311.7,1344,46.2,63,11.03,6497.4,29.11,0,0,0,0,0,0
L,300.4,310.4,1572,33.2,136,10.0,5468.6,47.32,0,0,0,0,0,0
L,303.3,313.7,1218,23.2,11,10.34,2958.9,52.5,1,0,0,1,0,0
L,296.9,306.4,2152,28.7,208,9.45,6478.6,74.86,0,0,0,0,0,0
M,303.1,313.1,1762,56.5,141,10.02,10417.3,31.21,1,0,0,1,0,0
L,300.2,307.8,1624,45.0,162,7.7,7647.8,36.11,0,0,0,0,0,0
L,301.0,311.8,1515,50.0,50,10.85,7932.7,30.3,0,0,0,0,0,0
L,303.4,315.2,1376,51.6,139,11.81,7442.5,26.64,0,0,0,0,0,0
H,301.1,310.1,1237,33.7,132,8.93,4370.6,36.66,0,0,0,0,0,0
L,300.8,309.9,1477,36.3,154,9.06,5609.9,40.72,0,0,0,0,0,0
H,300.5,310.9,1328,38.3,211,10.44,5329.1,34.66,0,0,0,0,0,0
L,299.0,310.5,1339,44.2,191,11.47,6193.1,30.32,0,0,0,0,0,0
L,299.9,309.9,1216,50.9,136,10.0,6480.9,23.89,0,0,0,0,0,0
L,298.6,307.3,1549,58.7,223,8.77,9521.6,26.39,1,1,0,1,1,0
L,299.9,309.7,1424,48.1,89,9.79,7179.1,29.58,0,0,0,0,0,0
L,295.3,304.3,1607,48.2,123,8.97,8114.0,33.33,0,0,0,0,0,0
L,300.9,310.2,1591,59.3,162,9.33,9874.3,26.84,1,0,0,1,0,0
H,299.8,309.5,1545,37.9,110,9.7,6139.9,40.71,0,0,0,0,0,0
M,299.3,308.4,2031,51.9,90,9.07,11036.3,39.14,1,0,0,1,0,0
M,300.4,309.7,1664,45.8,28,9.22,7977.8,36.35,0,0,0,0,0,0
L,297.1,307.2,1247,46.1,158,10.07,6026.5,27.02,0,0,0,0,0,0
L,303.9,314.1,1591,37.9,48,10.22,6306.9,42.03,0,0,0,0,0,0
L,299.8,308.4,1489,26.1,34,8.58,4063.1,57.14,0,0,0,0,0,0
M,299.7,310.1,1231,43.4,45,10.4,5600.9,28.33,0,0,0,0,0,0
H,298.1,307.7,1215,43.5,172,9.62,5533.5,27.94,0,0,0,0,0,0
L,300.0,310.8,1590,34.2,34,10.72,5702.0,46.43,0,0,0,0,0,0
L,302.8,313.6,1639,39.0,244,10.78,6699.4,41.99,1,1,0,0,0,0
L,302.1,311.5,1290,31.2,189,9.46,4212.2,41.37,0,0,0,0,0,0
L,301.7,312.3,1694,31.3,98,10.61,5546.4,54.18,0,0,0,0,0,0
L,301.1,310.3,1556,35.2,148,9.16,5734.1,44.22,0,0,0,0,0,0
M,299.3,310.6,1739,26.7,1,11.32,4865.1,65.09,0,0,0,0,0,0
M,297.1,306.3,1717,34.2,211,9.2,6143.0,50.26,0,0,0,0,0,0
L,299.6,310.0,1468,47.1,67,10.35,7246.4,31.14,0,0,0,0,0,0
L,299.5,309.3,1827,54.6,17,9.81,10438.8,33.49,1,0,0,1,0,0
H,302.1,311.1,1275,60.8,189,8.98,8111.8,20.99,0,0,0,0,0,0
L,300.6,311.5,1978,36.0,82,10.9,7456.6,54.95,0,0,0,0,0,0
L,303.2,312.6,1324,52.0,141,9.39,7209.9,25.46,0,0,0,0,0,0
L,302.4,310.7,1490,43.4,211,8.3,6765.8,34.36,1,1,0,0,0,0
L,299.1,306.2,1386,37.6,193,7.12,5461.2,36.84,0,0,0,0,0,0
L,296.4,305.5,1424,44.0,84,9.12,6564.6,32.35,0,0,0,0,0,0
M,302.8,314.1,2084,51.0,217,11.38,11134.7,40.85,1,0,0,1,0,0
L,302.7,314.0,1407,35.0,97,11.26,5159.4,40.18,0,0,0,0,0,0
L,297.3,306.5,1670,34.8,125,9.28,6083.6,48.01,0,0,0,0,0,0
M,303.0,312.6,1452,35.9,153,9.63,5459.0,40.44,0,0,0,0,0,0
L,300.8,310.3,1687,33.7,17,9.54,5959.2,50.01,0,0,0,0,0,0
M,300.3,309.0,1391,52.0,149,8.67,7573.0,26.76,0,0,0,0,0,0
M,303.2,312.3,1551,32.4,144,9.05,5256.2,47.93,0,0,0,0,0,0
L,302.7,313.7,1625,34.1,218,10.98,5806.8,47.62,1,1,0,0,0,0
M,301.3,311.8,1355,43.1,88,10.5,6117.4,31.43,0,0,0,0,0,0
L,300.9,311.2,2051,42.3,60,10.27,9085.9,48.48,1,0,0,1,0,0
H,301.2,309.9,1636,35.9,119,8.66,6150.7,45.57,0,0,0,0,0,0
L,299.2,309.3,1454,56.8,171,10.1,8654.0,25.58,0,0,0,0,0,0
H,299.9,307.6,1360,33.7,140,7.7,4798.6,40.36,1,0,1,0,0,0
M,298.2,309.0,1518,38.3,34,10.84,6086.6,39.65,0,0,0,0,0,0
L,299.3,309.6,1256,20.7,86,10.26,2726.9,60.58,1,0,0,1,0,0
L,299.3,307.9,1856,37.0,15,8.65,7181.6,50.23,0,0,0,0,0,0
H,298.7,310.3,1586,26.8,184,11.62,4446.2,59.24,0,0,0,0,0,0
M,300.3,308.5,1482,30.8,220,8.2,4785.8,48.06,0,0,0,0,0,0
L,299.4,309.9,1709,20.4,11,10.53,3658.3,83.6,0,0,0,0,0,0
M,301.0,311.6,1355,31.1,131,10.56,4409.4,43.6,0,0,0,0,0,0
L,296.8,305.5,1268,39.2,141,8.76,5211.7,32.31,0,0,0,0,0,0
L,299.8,309.7,1473,37.6,109,9.96,5793.4,39.22,0,0,0,0,0,0
L,300.3,308.6,1525,35.9,125,8.36,5725.5,42.54,0,0,0,0,0,0
L,299.4,306.5,1606,36.8,177,7.15,6180.8,43.7,0,0,0,0,0,0
M,299.7,308.6,1204,35.0,120,8.93,4406.6,34.45,0,0,0,0,0,0
L,296.8,306.2,1408,39.7,229,9.38,5846.8,35.51,1,1,0,0,0,0
M,300.7,311.4,883,38.9,135,10.64,3596.8,22.7,0,0,0,0,0,0
L,301.3,311.4,1263,42.7,17,10.07,5654.1,29.54,0,0,0,0,0,0
L,301.0,311.1,1643,38.0,238,10.09,6536.4,43.25,1,1,0,0,0,0
L,302.1,311.1,1692,35.7,36,8.99,6319.0,47.44,0,0,0,0,0,0
L,300.4,309.9,1271,47.8,196,9.47,6359.8,26.6,0,0,0,0,0,0
L,301.0,310.0,1435,46.0,131,9.07,6916.9,31.18,0,0,0,0,0,0
L,300.3,309.1,1505,39.7,185,8.78,6253.0,37.93,0,0,0,0,0,0
L,301.4,310.8,1715,52.0,128,9.41,9330.1,33.01,1,0,0,1,0,0
L,296.8,306.9,1805,40.8,14,10.07,7717.0,44.21,0,0,0,0,0,0
L,298.2,307.6,1530,38.4,93,9.43,6150.6,39.86,0,0,0,0,0,0
L,303.2,312.9,1447,39.3,155,9.68,5957.2,36.81,0,0,0,0,0,0
M,295.1,305.8,1211,41.7,157,10.69,5282.0,29.07,0,0,0,0,0,0
H,299.7,309.2,1521,30.8,243,9.5,4910.2,49.34,1,1,0,0,0,0
L,302.3,311.0,1914,21.3,151,8.67,4262.0,90.01,0,0,0,0,0,0
L,299.8,310.4,1758,42.8,71,10.56,7882.1,41.06,0,0,0,0,0,0
L,299.2,309.5,1534,48.3,10,10.27,7765.4,31.73,0,0,0,0,0,0
H,300.3,310.6,1560,30.0,197,10.33,4899.3,52.02,0,0,0,0,0,0
L,299.3,309.9,1362,50.7,222,10.63,7235.6,26.85,1,1,0,0,1,0
L,300.1,310.5,1428,23.5,153,10.46,3519.5,60.67,0,0,0,0,0,0
L,298.6,308.7,1529,34.4,120,10.03,5509.9,44.43,0,0,0,0,0,0
L,302.2,314.6,1530,57.1,215,12.39,9142.2,26.81,1,0,0,1,1,0
L,302.8,311.6,1702,43.6,60,8.72,7763.7,39.07,0,0,0,0,0,0
M,299.7,309.1,1692,37.0,99,9.41,6551.5,45.76,0,0,0,0,0,0
L,297.2,308.2,1604,42.5,126,10.97,7142.6,37.72,0,0,0,0,0,0
M,299.0,309.1,1300,52.0,12,10.14,7074.1,25.02,0,0,0,0,0,0
L,299.6,310.4,1307,25.5,172,10.76,3496.8,51.16,1,0,0,1,0,0
L,301.0,311.2,1322,53.2,47,10.17,7362.0,24.86,0,0,0,0,0,0
H,298.0,309.4,1547,35.1,83,11.37,5686.2,44.07,0,0,0,0,0,0
L,298.5,307.5,1094,47.1,103,8.99,5394.1,23.24,0,0,0,0,0,0
M,301.0,312.4,1498,33.9,159,11.34,5311.3,44.24,0,0,0,0,0,0
L,301.9,313.0,1781,56.8,16,11.17,10600.5,31.34,1,0,0,1,0,0
L,298.8,307.5,1633,39.7,85,8.79,6787.0,41.15,0,0,0,0,0,0
H,297.3,308.0,1429,26.7,68,10.63,3997.3,53.5,0,0,0,0,0,0
L,306.6,316.5,1360,44.7,0,9.96,6366.2,30.42,0,0,0,0,0,0
M,301.6,311.0,1661,53.0,172,9.39,9220.9,31.33,1,0,0,1,0,0
L,299.5,307.6,1561,51.9,58,8.11,8481.1,30.09,0,0,0,0,0,0
M,301.7,310.7,1450,40.9,41,8.99,6215.7,35.42,0,0,0,0,0,0
L,299.8,310.5,1382,48.1,199,10.71,6964.2,28.72,0,0,0,0,0,0
L,301.7,312.5,1515,35.8,9,10.81,5677.2,42.34,0,0,0,0,0,0
M,300.3,310.1,1439,45.9,225,9.79,6918.3,31.34,0,0,0,0,0,0
H,300.2,311.0,1656,43.6,171,10.82,7565.8,37.96,0,0,0,0,0,0
H,299.8,310.7,1748,11.0,42,10.95,2022.2,158.23,1,0,0,1,0,0
M,297.1,307.3,1226,30.0,87,10.15,3850.8,40.87,0,0,0,0,0,0
M,303.9,313.2,1254,42.1,237,9.28,5525.7,29.8,1,1,0,0,0,0
L,298.1,308.6,1769,41.6,154,10.44,7715.6,42.47,0,0,0,0,0,0
L,297.3,307.8,1533,39.7,152,10.49,6374.7,38.61,0,0,0,0,0,0
L,299.6,310.2,1273,40.9,163,10.67,5451.5,31.13,0,0,0,0,0,0
L,298.1,308.9,1696,52.1,115,10.87,9249.1,32.57,1,0,0,1,0,0
L,299.9,308.5,1568,43.5,41,8.64,7149.5,36.01,0,0,0,0,0,0
L,301.4,310.9,1940,16.7,37,9.49,3387.4,116.35,1,0,0,1,0,0
L,302.0,310.1,1452,59.5,171,8.1,9043.7,24.41,1,0,0,1,0,0
M,301.6,312.4,1721,20.9,220,10.75,3772.9,82.21,1,1,0,0,0,0
L,299.4,309.2,1210,49.6,75,9.79,6282.5,24.4,0,0,0,0,0,0
L,300.1,310.5,1779,24.4,125,10.43,4537.6,73.04,0,0,0,0,0,0
L,300.8,309.3,1688,54.2,248,8.52,9586.8,31.12,1,1,0,1,1,0
M,296.5,307.9,1820,37.2,64,11.4,7093.8,48.9,0,0,0,0,0,0
M,301.1,309.9,1722,43.8,97,8.81,7906.1,39.28,0,0,0,0,0,0
M,297.1,307.9,1480,20.1,90,10.77,3121.2,73.49,1,0,0,1,0,0
L,304.1,314.2,1265,47.3,8,10.12,6265.3,26.75,0,0,0,0,0,0
L,299.2,309.0,1379,44.2,127,9.81,6377.5,31.23,0,0,0,0,0,0
L,299.6,309.4,1147,46.2,52,9.73,5546.0,24.84,0,0,0,0,0,0
L,298.5,307.8,1315,49.5,32,9.36,6815.9,26.57,0,0,0,0,0,0
L,298.7,310.0,1585,41.8,177,11.3,6935.5,37.93,0,0,0,0,0,0
L,304.5,314.6,1490,37.9,191,10.01,5912.5,39.32,0,0,0,0,0,0
L,301.9,310.6,1455,31.9,222,8.73,4859.1,45.62,1,1,0,0,0,0
H,296.9,306.5,1341,35.6,233,9.62,4994.9,37.7,1,1,0,0,0,0
H,303.0,313.1,1145,52.1,217,10.13,6242.8,21.99,1,1,0,0,0,0
L,302.4,313.3,1536,31.6,30,10.9,5086.4,48.57,0,0,0,0,0,0
L,299.4,308.8,1575,21.6,55,9.4,3557.5,73.02,0,0,0,0,0,0
L,300.6,310.1,1301,30.1,30,9.46,4104.2,43.19,0,0,0,0,0,0
L,300.0,310.0,1393,46.1,88,10.02,6719.0,30.24,0,0,0,0,0,0
H,303.9,314.8,1808,37.0,31,10.87,6999.9,48.9,0,0,0,0,0,0
L,298.4,307.0,1731,46.0,163,8.63,8346.6,37.59,0,0,0,0,0,0
M,300.3,310.8,1203,20.0,179,10.51,2519.0,60.16,1,0,0,1,0,0
L,299.1,308.7,1483,10.2,39,9.54,1580.1,145.76,1,0,0,1,0,0
H,297.1,306.8,1790,42.6,155,9.68,7993.0,41.98,0,0,0,0,0,0
L,304.4,316.4,1456,50.0,5,12.0,7630.8,29.09,0,0,0,0,0,0
M,297.6,307.4,1446,22.9,108,9.8,3466.1,63.17,1,0,0,1,0,0
L,300.4,311.2,1718,45.3,71,10.75,8142.7,37.96,0,0,0,0,0,0
M,296.5,307.2,1697,51.9,249,10.72,9223.6,32.7,1,1,0,1,1,0
L,299.2,308.0,1687,40.0,230,8.82,7058.7,42.22,1,1,0,0,0,0
L,300.8,309.0,1447,49.0,36,8.15,7426.6,29.52,0,0,0,0,0,0
H,298.4,309.2,1632,41.9,229,10.82,7161.5,38.95,1,1,0,0,0,0
H,301.2,310.1,1798,37.4,104,8.92,7036.4,48.11,0,0,0,0,0,0
M,299.5,307.8,1490,48.2,144,8.34,7522.3,30.91,0,0,0,0,0,0
M,302.3,313.3,1419,59.1,133,11.03,8786.3,24.0,0,0,0,0,0,0
M,302.7,311.7,1746,34.4,181,8.98,6293.7,50.72,0,0,0,0,0,0
L,298.8,308.1,1909,39.1,83,9.23,7821.0,48.8,0,0,0,0,0,0
L,300.2,312.1,1923,30.1,17,11.97,6060.0,63.9,0,0,0,0,0,0
L,300.4,308.7,1425,41.6,104,8.34,6200.6,34.29,0,0,0,0,0,0
M,301.2,310.0,1445,38.4,136,8.74,5816.1,37.59,0,0,0,0,0,0
L,300.0,309.6,1294,51.6,138,9.54,6990.1,25.09,0,0,0,0,0,0
L,300.4,310.1,1523,54.2,198,9.76,8643.9,28.1,0,0,0,0,0,0
L,299.5,308.6,1285,47.9,11,9.11,6442.9,26.84,0,0,0,0,0,0
M,300.2,309.1,1394,50.5,247,8.84,7367.2,27.62,1,1,0,0,1,0
L,302.6,314.1,1640,33.0,247,11.51,5659.1,49.77,1,1,0,0,0,0
L,301.3,311.6,1577,30.5,24,10.26,5028.7,51.79,0,0,0,0,0,0
L,301.4,312.0,1137,44.4,86,10.59,5282.8,25.63,0,0,0,0,0,0
L,301.4,311.3,1814,40.2,147,9.86,7636.5,45.12,0,0,0,0,0,0
